formula,CFS
Al0.9 Co1 Fe1 Ni1 Cr0.1,9.8
Al0.9 Fe1 Cr1 Ni1 Co1 Cu0.4,8.97
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,9.98
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,10.02
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,11.85
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,7.73
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,15.0
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,8.55
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,16.0
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,24.4
Al1 Co1 Cu1 Fe1 Ni0.5,13.7
Al1 Co1 Cu1 Fe1 Ni0.8,12.3
Al1 Co1 Cu1 Fe1 Ni1 Ti1,12.8
Al1 Co1 Fe1 Ni1,4.6
Al1 Cr0.767 Fe0.767 Ni0.767,24.7
Al1 Cr0.828 Fe0.828 Ni0.828,31.4
Al1 Cr0.889 Fe0.889 Ni0.889,27.1
Al1 Cr1 Cu1 Fe1 Ni1,21.0
Al1 Cr1 Cu1 Fe1 Ni1 Ti0.5,16.0
Al1 Cr1 Cu1 Fe1 Ni1 Ti1,12.0
Al1 Cr1 Cu1 Fe1 Ni1 Ti1.5,8.0
Al1 Cr1 Fe1 Ni1,34.6
Al1 Cr1 Fe1 Ni1 Cu1 V1 Ti1,23.0
Al1 Fe1 Cr1 Co1 Ti1 Cu0.5,7.43
Al1 Fe1 Cr1 Co1 Ti1 Cu0.75,6.72
Al1 Fe1 Cr1 Co1 Ti1 Cu1,6.03
Al1 Fe1 Cr1 Ni1 Co1,22.68
Al1 Fe1 Cr1 Ni1 Co1 Cu0.1,15.53
Al1 Fe1 Cr1 Ni1 Co1 Cu0.5,8.8
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,21.0
Al1 Mo1 Nb1 Ti1 V1,2.5
Al1 Nb1 Ti1 Zr1,8.6
Al1 Ni1 Fe1 Cu1 Co1 Cr1 V0.1,12.32
Al1 Ni1 Fe1 Cu1 Co1 Cr1 V0.2,13.76
Al1 Ni1 Fe1 Cu1 Co1 Cr1 V0.3,11.28
Al1 Ni1 Fe1 Cu1 Co1 Cr1 V0.4,15.06
Al1 Ni1 Fe1 Cu1 Co1 Cr1 V0.5,15.56
Al1.5 Cr1 Fe1 Ni1 Cu1 V1 Ti1,22.0
Al1.5 Mo1 Nb1 Ti1 V1,1.3
C0.2 Mo1 Nb1 Re0.5 Ta0.2 W1,12.1
C0.4 Mo1 Nb1 Re0.5 Ta0.4 W1,12.7
C0.5 Mo1 Nb1 Re0.5 Ta0.5 W1,14.2
C0.6 Mo1 Nb1 Re0.5 Ta0.6 W1,13.8
Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,24.7
Co1 Cr1 Cu1 Fe1 Ni1,50.6
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,22.0
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,3.0
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,2.0
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,50.2
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,50.2
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,50.2
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,28.0
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,50.0
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,46.0
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,42.0
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,35.0
Co1 Cr1 Fe1 Mn1,4.3
Co1 Cr1 Fe1 Mn1 Ni1 ,71.0
Co1 Cr1 Fe1 Mn1 Ni1 V1,0.0
Co1 Cr1 Fe1 Ni1,81.5
Co1 Cr1 Fe1 Ni1 Hf0.1,54.4
Co1 Cr1 Fe1 Ni1 Hf0.2,44.0
Co1 Cr1 Fe1 Ni1 Hf0.3,18.3
Co1 Cr1 Fe1 Ni1 Hf0.4,11.6
Co1 Cr1 Fe1 Ni1 Ti1,4.23
Co1 Cr1 Fe1 Ni1 Ti1 Al0.25,5.12
Co1 Cr1 Fe1 Ni1 Ti1 Al0.5,9.83
Co1 Cr1 Fe1 Ni1 Ti1 Al0.75,9.25
Co1 Cr1 Fe1 Ni1 Ti1 Al1.5,6.14
Co1 Cr1 Fe1 Ni1 Ti1 Al2,4.3
Co1 Cr1 Fe1 Ni1 V1,0.0
Co1 Cr1 Fe1 Ni1 W0.2,52.0
Co1 Cr1 Fe1 Ni1 W0.5,35.6
Co1 Fe1 Mo0.4 Ni1 V1,19.7
Co1 Fe1 Ni1 Mn1 Al1,1.9
Co1 Fe1 Ni1 Mn1 Ti0.3 Al0.7,19.3
Co1 Fe1 Ni1 Mn1 Ti0.5 Al0.5,20.5
Co1 Fe1 Ni1 Mn1 Ti0.8 Al0.2,16.3
Co1 Fe1 Ni1 Mn1 Ti1,3.8
Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,36.8
Co1.5 Cr1 Fe1 Ni1.5 Ti1,12.5
Cr1 Fe1 Mo1 Nb1 Ti1,0.9
Cr1 Fe1 Mo1 Nb1 V1,2.7
Cr1 Fe1 Ni1 Cu1 V1 Ti1,4.6
Cr1 Fe1 Ni1 Nb0.1 Ti0.2,16.65
Cr1 Fe1 Ni1 Nb0.1 Ti0.3,15.14
Cr1 Fe1 Ni1 Nb0.1 Ti0.4,2.9
Cr1 Fe1 Ni1 Ti0.2,5.8
Cr1 Fe1 Ni1 Ti0.4,6.5
Cr1 Fe1 Ni1 V0.5 W1,7.3
Cu1 Mn1 Ni1 Sn0.053,63.0
Cu1 Mn1 Ni1 Sn0.111,20.0
Fe1 Co0.2 Ni1 Cu1 Al1,13.0
Fe1 Co1 Ni1 Cr1 Mn1 Nb0.25,38.18
Fe1 Co1 Ni1 Cr1 Mn1 Nb0.5,28.58
Fe1 Co1 Ni1 Cr1 Mn1 Nb0.75,12.21
Fe1 Co1 Ni1 Cr1 Mn1 Sn0.3,28.83
Fe1 Co1 Ni1 Cr1 Mn1 Sn0.5,12.32
Fe1 Co2 Ni1 Cu1 Al1,41.0
Fe1 Cr1 Mo1 V1,28.2
Fe1 Cr1 Mo1 V1 Ti0.5,5.9
Fe1 Cr1 Mo1 V1 Ti1.0,5.3
Fe1 Cr1 Mo1 V1 Ti1.5,4.7
Fe1 Cr1 Mo1 V1 Ti2.0,4.2
Fe1 Mo1 Nb1 Ti1 V1,1.7
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,28.0
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,23.0
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,23.0
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,12.0
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,9.0
Hf0.5 Mo0.5 Nb1 Ti1 Zr1,25.0
Hf1 Mo1 Nb1 Ta1 Ti1,27.0
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,15.5
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,12.0
Hf1 Mo1 Nb1 Ta1 Zr1,16.0
Hf1 Mo1 Ta1 Ti1 Zr1,4.0
Hf1 Nb1 Ta1 Ti1 W1 Zr1,26.3
Hf1 Nb1 Ta1 Zr1,21.6
Hf1 Nb1 Ti1 Zr1,52.0
Hf1 Sc1 Ti1 Y1 Zr1,15.7
Hf1 Sc1 Ti1 Zr1,21.9
Hf1 Ti1 Y1 Zr1,17.7
Hf1 Ti1 Zr1,17.0
Mo0.333 Nb0.333 Ti0.333 V1 Zr0.333,24.0
Mo0.5 Nb0.5 Ti0.5 V1 Zr0.5,23.0
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,20.0
Mo1 Nb1 Re0.5 W1,10.4
Mo1 Nb1 Ta1 Ti1 V1,30.0
Mo1 Nb1 Ta1 V1,21.0
Mo1 Nb1 Ta1 V1 W1,1.7
Mo1 Nb1 Ta1 W1,2.1
Mo1 Nb1 Ti1 V0.25 Zr1,30.0
Mo1 Nb1 Ti1 V0.5 Zr1,28.0
Mo1 Nb1 Ti1 V0.75 Zr1,29.0
Mo1 Nb1 Ti1 V1,25.62
Mo1 Nb1 Ti1 V1 Zr1,26.0
Mo1 Nb1 Ti1 Zr1,34.0
Nb1 Ta1 Ti1 V1 W1,20.0
Nb1 Ta1 V1 W1,12.0
Nb1 Ti1 Zr1,48.0
Al1 Cr1 Fe1 Mo0.8 Ni1,0.0
Al1 Cr1 Fe1 Ni1 Mo0.8,0.0
Al1 Cu1 Ni1 Ti1,0.85
Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1.0
Al0.667 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1.0
Al1 Co1 Cr1 Fe1 Ni1 Si1,1.0
Al1 Co1 Cr1 Fe1 Ni1 Si1,1.0
Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,1.0
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,2.0
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,2.0
Al1 Co1 Cr1 Fe1 Ni1 Si0.8,2.0
Co1 Cr1 Cu1 Fe1 Ni1 Ti1,2.0
Al1 Mo1 Nb1 Ti1 V1,2.5
Mo1 Nb1 Ta1 Ti0.25 W1,2.5
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,3.0
Al1 Co1 Cr1 Fe1 Mo0.2 Ni1,3.0
Al1 Co1 Cr1 Fe1 Mo0.3 Ni1,3.0
Al1 Co1 Cr1 Fe1 Mo0.4 Ni1,3.0
Al1 Co1 Cr1 Fe1 Mo0.5 Ni1,3.0
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,3.0
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,3.0
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.8,3.0
Cr1 Hf1 Nb1 Ti1 Zr1,3.0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,3.07
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,3.54
Co1 Cr1 Mo1 Nb1 Ti0.5,3.88
Al0.667 Nb1 Ta0.333 Ti1 Zr0.333,4.0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,4.0
Hf1 Mo1 Ta1 Ti1 Zr1,4.0
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,4.1
Cr16.7 Fe16.7 Mo16.7 Ti33.3V16.7,4.2
Co1 Cr1 Mo1 Nb1 Ti0.2,4.62
Cr18.2 Fe18.2 Mo18.2 Ti27.3V18.2,4.7
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,4.73
Co1 Cr1 Mo1 Nb1 Ti0.4,4.92
Al0.214 Nb0.714 Ta0.571 Ti1 V0.143 Zr0.929,5.0
Al0.214 Nb0.714 Ta0.714 Ti1 Zr0.929,5.0
Al0.333 Nb0.667 Ta0.533 Ti1 V0.133 Zr0.667,5.0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,5.0
Cr1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,5.0
Co1 Cr1 Mo1 Nb1 Ti1,5.07
Al1 Co1 Cr1 Fe1 Ni1 Ti1.5,5.3
Co1 Cr1 Mo1 Nb1,5.77
Cr22.2Fe22.2Mo22.2Ti11.1V22.2,5.9
Mo1 Nb1 Ta1 Ti0.5 W1,5.9
Al0.667 C1 Co0.667 Cr0.667 Fe0.667 Ni0.667,6.0
Al1 C0.5 Co1 Cr1 Fe1 N1,6.0
Al1 C1.5 Co1 Cr1 Fe1 N1,6.0
Al1 C0.4 Co1 Cr1 Fe1 N1,7.0
Al1 C1 Co1 Cr1 Fe1 N1,7.0
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,7.0
Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,7.0
Co1 Cu0.5 Fe1 Ni1 V1 Ti1,7.4
Al0.75 Mo1 Nb1 Ti1 V1,7.5
Al1 Co1 Cr1 Cu1 Ni1 Ti1,7.68
Al1 C0.3 Co1 Cr1 Fe1 N1,8.0
Al1 Cu1 Fe1 Ni1 Ti1,8.0
Mo1.5 Nb1 Ti1 V0.3 Zr1,8.0
Mo1 Nb1 Ta1 Ti0.75 W1,8.4
Al1 Co1 Cr1 Fe1 Ni1 Ti1,8.8
Al1 C0.2 Co1 Cr1 Fe1 N1,9.0
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,9.0
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,9.0
Hf0.5 Mo0.5 Nb1 Si0.9 Ti1 Zr1,9.2
Hf1 Mo0.5 Nb Si0.7 Ti V0.5,9.2
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,10.0
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,10.0
Hf1 Mo1 Nb1 Ti1 Zr1,10.0
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,10.5
Al1 Co1 Cr1 Fe1 Nb0.5 Ni1,10.5
Hf0.5 Mo0.5 Nb1 Si0.7 Ti1 Zr1,10.6
Mo1 Nb1 Ta1 Ti1 V1 W1,10.6
Al1 C0.1 Co1 Cr1 Fe1 N1,11.0
Hf1 Nb1 Si0.5 Ti1 V1,11.0
Al0.5 Mo1 Nb1 Ti1 V1,11.25
Mo1 Nb1 Ti1 V0.3 Zr1,11.5
Hf1 Mo0.5 Nb Si0.5 Ti V0.5,11.9
Al0.75 Co1 Cr1 Cu0.25 Fe1 Ni1 Ti0.5,12.0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,12.0
Mo2 Nb1 Ti1 V1 Zr1,12.0
Hf0.5 Mo0.5 Nb1 Si0.5 Ti1 Zr1,12.1
Al1 Cr1 Fe1 Ni1 Mo0.5,12.6
Co1 Cu0.5 Fe1 Ni1 V1 Ti0.5,12.79
Al0.25 Mo1 Nb1 Ti1 V1,12.91
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,13.0
Al1 Cr1 Fe1 Mo0.5 Ni1,13.0
Al23.8Co4.8Cu23.8Fe23.8Ni23.8,13.0
Al1 Co1 Cr1 Fe1 NiSi0.4,13.0
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,14.0
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,14.0
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ni1,15.0
Mo1.7 Nb1 Ti1 V1 Zr1,15.0
Hf1 Sc1 Ti1 Y1 Zr1,15.7
Al1 Co1 Cr1 Cu1 Fe1 Ni1 V1,16.0
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,16.0
Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,17.0
Hf1 Ti1 Zr1,17.0
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,17.2
Al1 Co1 Cr1 Fe1 Nb0.25 Ni1,17.2
Hf1 Ti1 Y1 Zr1,17.7
Hf1 Mo0.5 Nb Si0.3 Ti V0.5,18.5
Hf0.333 Nb0.333 Ta0.333 Ti1 Zr0.667,18.8
Co1 Fe1 Mo0.4 Ni1 V1,19.7
Cu1 Mn1 Ni1 Sn0.111,20.0
Mo1 Nb1 Ti1 V1.5 Zr1,20.0
Mo1.3 Nb1 Ti1 V0.3 Zr1 ,20.0
Mo1.5 Nb1 Ti1 V1 Zr1,20.0
Al1 Hf1 Nb1 Ta1 Ti1 Zr1,21.0
Hf1 Sc1 Ti1 Zr1,21.9
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,22.0
Hf0.5 Mo0.5 Nb1 Si0.3 Ti1 Zr1,23.0
Mo1 Nb1 Ti1 V2 Zr1,23.0
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,23.3
Al1 Co1 Cr1 Cu1 Fe1 Ni1,24.0
Mo1 Nb1 Ti1 V3 Zr1,24.0
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,24.5
Al1 Co1 Cr1 Fe1 Ni1,24.5
Mo0.5 Nb1 Hf0.5 Zr1 Ti1,24.61
Co0.5 Fe0.5 Mo0.5 Ni1 V0.5,24.7
Mo1 Nb1 Ti1 V1,25.62
Mo1 Nb1 Ti1 V1.0 Zr1,26.0
Mo0.7 Nb1 Ti1 V0.3 Zr1,26.6
Hf0.5 Mo0.5 Nb1 Si0.1 Ti1 Zr1,27.8
Mo1 Nb1 Ti1 V0.5 Zr1,28.0
Cr25 Fe25 Mo25 V25,28.2
Al1 Cr1 Fe1 Ni1,28.5
Al1 Cr1 Fe1 Ni1 Mo0.2,28.7
Al1 Cr1 Fe1 Mo0.2 Ni1,29.0
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,29.0
Mo1 Nb1 Ti1 V0.75 Zr1,29.0
Hf1 Nb1 Ti1 V1 Zr1,29.6
Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,30.0
Mo1 Nb1 Ti1 V0.25 Zr1,30.0
Mo1.3 Nb1 Ti1 V1 Zr1,30.0
Mo0.5 Nb1 Ti1 V1 Zr1,32.0
Mo0.7 Nb1 Ti1 V1 Zr1,32.0
Mo1 Nb1 Ta1 Ti1 V1,32.0
C0.3 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,32.62
Mo1 Nb1 Ti1 Zr1,34.0
Hf1 Mo0.5 Nb1 Ti1 V0.5,35.0
C0.1 Hf0.5 Mo0.5 Nb1 Ti1 Zr1,38.39
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,39.0
Al0.111 Cu1 Mn1 Ni1,40.0
Al0.4 Co1 Cu0.6 Ni1 Si0.2,40.5
Mo0.3 Nb1 Ti1 V1 Zr1,42.0
Mo0.5 Nb1 Ti1 V0.3 Zr1,43.0
Al0.053 Cu1 Mn1 Ni1,45.0
Mo0.1 Nb1 Ti1 V0.3 Zr1,45.0
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,46.0
Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,50.0
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,50.0
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,50.0
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,50.0
Hf1 Nb1 Ta1 Ti1 Zr1,50.0
Mo0.3 Nb1 Ti1 V0.3 Zr1,50.0
Co24.4Cr24.4Fe24.4Ni24.4Mo2.4,60.0
Co1 Cr0.2 Fe1 Ni1 Si0.2,61.0
Cu1 Mn1 Ni1 Sn0.053,63.0
Al16.7Co33.3Cu16.7Fe16.7Ni16.7,80.0
Co1 Fe1 Mo0.2 Ni1 V1,80.0
Co1 Fe1 Ni1 V1,80.0
