No,class,HV,Al,Co,Cr,Cu,Fe,Ni,Mn,Mo,Ti,V
153,2,290,0.123,0,0.175,0.175,0.175,0.351,0,0,0,0
154,2,315,0.138,0,0.172,0.172,0.172,0.345,0,0,0,0
155,2,339,0.153,0,0.169,0.169,0.169,0.339,0,0,0,0
156,1,521,0.194,0,0.161,0.161,0.161,0.323,0,0,0,0
157,1,546,0.231,0,0.154,0.154,0.154,0.308,0,0,0,0
158,1,550,0.242,0,0.152,0.152,0.152,0.303,0,0,0,0
159,1,567,0.286,0,0.143,0.143,0.143,0.286,0,0,0,0
160,1,576,0.306,0,0.139,0.139,0.139,0.278,0,0,0,0
161,1,593,0.333,0,0.133,0.133,0.133,0.267,0,0,0,0
162,2,495,0.217,0,0.217,0.217,0.217,0.13,0,0,0,0
163,2,486,0.208,0,0.208,0.208,0.208,0.167,0,0,0,0
164,2,408,0.192,0,0.192,0.192,0.192,0.231,0,0,0,0
165,2,369,0.185,0,0.185,0.185,0.185,0.259,0,0,0,0
166,2,358,0.167,0.167,0.167,0.083,0.167,0.25,0,0,0,0
167,1,586,0.2,0.2,0.2,0.1,0.1,0.2,0,0,0,0
168,1,601,0.167,0.167,0.25,0.083,0.167,0.167,0,0,0,0
169,2,295,0.154,0.308,0.154,0.077,0.154,0.154,0,0,0,0
170,1,584,0.222,0.222,0,0.111,0.222,0.222,0,0,0,0
171,2,310,0.154,0.154,0.154,0.077,0.154,0.308,0,0,0,0
172,2,451,0.167,0.25,0.167,0.083,0.167,0.167,0,0,0,0
173,1,546,0.2,0.2,0.1,0.1,0.2,0.2,0,0,0,0
174,1,607,0.154,0.154,0.308,0.077,0.154,0.154,0,0,0,0
175,1,537,0.167,0.167,0.167,0.083,0.25,0.167,0,0,0,0
176,1,514,0.154,0.154,0.154,0.077,0.308,0.154,0,0,0,0
177,1,604,0.2,0.2,0.2,0.1,0.2,0.1,0,0,0,0
178,1,639,0.222,0.222,0.222,0.111,0.222,0,0,0,0,0
179,1,534,0.222,0,0.222,0.111,0.222,0.222,0,0,0,0
180,1,609,0.308,0.154,0.154,0.077,0.154,0.154,0,0,0,0
181,1,551,0.2,0.1,0.2,0.1,0.2,0.2,0,0,0,0
182,2,382,0.111,0,0.222,0.222,0.222,0.222,0,0,0,0
183,1,573,0.273,0,0.182,0.182,0.182,0.182,0,0,0,0
184,1,651,0.333,0,0.167,0.167,0.167,0.167,0,0,0,0
185,2,137,0.077,0.308,0,0,0.308,0.308,0,0,0,0
186,2,209,0.143,0.286,0,0,0.286,0.286,0,0,0,0
187,2,383,0.2,0.267,0,0,0.267,0.267,0,0,0,0
188,2,280,0.08,0.17,0.17,0.08,0.17,0.33,0,0,0,0
189,1,580,0.23,0.15,0.23,0.08,0.15,0.16,0,0,0,0
190,2,450,0.118,0,0.294,0,0.441,0.147,0,0,0,0
191,2,304,0.063,0,0.313,0,0.469,0.156,0,0,0,0
192,1,695,0.385,0.154,0.154,0,0.154,0.154,0,0,0,0
193,1,740,0.429,0.143,0.143,0,0.143,0.143,0,0,0,0
194,1,571,0.286,0.143,0.143,0.143,0.143,0.143,0,0,0,0
195,2,415,0.2,0.2,0.2,0.2,0,0.2,0,0,0,0
196,1,602,0.25,0.167,0.167,0.083,0.167,0.167,0,0,0,0
197,2,144,0,0.2,0.2,0.2,0.2,0.2,0,0,0,0
198,1,764,0.43,0.06,0.33,0.06,0.06,0.06,0,0,0,0
199,1,591,0.429,0.143,0.071,0.071,0.071,0.214,0,0,0,0
200,1,701,0.429,0.214,0.071,0.071,0.071,0.143,0,0,0,0
201,1,768,0.4,0.133,0.067,0.133,0.2,0.067,0,0,0,0
202,1,702,0.462,0.154,0.077,0.077,0.154,0.077,0,0,0,0
203,1,720,0.429,0.143,0.143,0.071,0.071,0.143,0,0,0,0
204,1,694,0.429,0.071,0.143,0.071,0.143,0.143,0,0,0,0
205,2,149,0.07,0,0.233,0,0.233,0.465,0,0,0,0
206,2,229,0.111,0,0.222,0,0.222,0.444,0,0,0,0
207,2,459,0.13,0,0.28,0.22,0.06,0.31,0,0,0,0
208,2,469,0.12,0,0.31,0.21,0.05,0.31,0,0,0,0
209,2,483,0.12,0,0.31,0.2,0.05,0.32,0,0,0,0
210,2,472,0.1,0,0.35,0.25,0.05,0.25,0,0,0,0
211,2,454,0.1,0,0.35,0.26,0.05,0.24,0,0,0,0
212,2,441,0.1,0,0.35,0.24,0.05,0.26,0,0,0,0
213,2,495,0.11,0,0.29,0.29,0.05,0.26,0,0,0,0
214,2,477,0.11,0,0.28,0.29,0.07,0.25,0,0,0,0
215,2,469,0.11,0,0.28,0.27,0.06,0.28,0,0,0,0
216,1,718,0.231,0,0.154,0.154,0.154,0.154,0.154,0,0,0
217,1,525.2,0.172,0.172,0.172,0,0.172,0.172,0,0,0.138,0
218,2,138,0,0.25,0,0,0.25,0.25,0.25,0,0,0
219,1,834,0,0,0.244,0.024,0.244,0.244,0,0,0.244,0
220,1,825,0,0,0.235,0.059,0.235,0.235,0,0,0.235,0
221,1,727,0,0,0.222,0.111,0.222,0.222,0,0,0.222,0
222,1,661,0,0,0.211,0.158,0.211,0.211,0,0,0.211,0
223,1,657,0,0,0.2,0.2,0.2,0.2,0,0,0.2,0
224,2,136,0,0,0.1,0,0.5,0.1,0.3,0,0,0
225,2,149,0,0,0.18,0,0.5,0.1,0.22,0,0,0
226,1,887,0,0.2,0.2,0,0.2,0.2,0,0,0.2,0
227,2,482,0.164,0.164,0.164,0.164,0.164,0.164,0,0,0,0.016
228,2,372,0.152,0,0.152,0.242,0.152,0.303,0,0,0,0
229,2,376,0.048,0,0.238,0.238,0,0.238,0,0,0.238,0
230,1,513,0.2,0,0.2,0.2,0,0.2,0,0,0.2,0
231,2,458,0,0.25,0,0,0.25,0.25,0,0.25,0,0
232,1,750,0.2,0.2,0,0,0.2,0.2,0,0.2,0,0
233,2,135.3,0.025,0.25,0.225,0,0.25,0.25,0,0,0,0
234,2,147.2,0.05,0.25,0.2,0,0.25,0.25,0,0,0,0
235,2,175.3,0.075,0.25,0.175,0,0.25,0.25,0,0,0,0
236,2,190.4,0.1,0.25,0.15,0,0.25,0.25,0,0,0,0
237,2,210.6,0.125,0.25,0.125,0,0.25,0.25,0,0,0,0
238,2,250.3,0.15,0.25,0.1,0,0.25,0.25,0,0,0,0
239,2,314.1,0.175,0.25,0.075,0,0.25,0.25,0,0,0,0
240,2,386.5,0.2,0.25,0.05,0,0.25,0.25,0,0,0,0
241,2,486.3,0.225,0.25,0.025,0,0.25,0.25,0,0,0,0
242,2,147,0.065,0.217,0.217,0,0.217,0.217,0.065,0,0,0
243,2,135,0.061,0.204,0.204,0,0.204,0.204,0.122,0,0,0
244,2,176,0.104,0.208,0.208,0,0.208,0.208,0.063,0,0,0
245,2,161,0.098,0.196,0.196,0,0.196,0.196,0.118,0,0,0
246,1,501,0.189,0.189,0.189,0,0.189,0.189,0.057,0,0,0
247,2,489,0.179,0.179,0.179,0,0.179,0.179,0.107,0,0,0
248,2,340,0.206,0.159,0.159,0,0.159,0.317,0,0,0,0
249,2,460,0.182,0,0.182,0.182,0.182,0.182,0,0,0.091,0
250,1,596,0.154,0,0.154,0.154,0.154,0.154,0,0,0.231,0
251,1,687.48,0.2,0,0.2,0,0.2,0.2,0,0,0.2,0
252,1,666.38,0.22,0.183,0.183,0,0.183,0.183,0,0,0.046,0
253,1,717.02,0.211,0.175,0.175,0,0.175,0.175,0,0,0.088,0
254,1,702.61,0.202,0.168,0.168,0,0.168,0.168,0,0,0.126,0
255,1,676.45,0.194,0.161,0.161,0,0.161,0.161,0,0,0.161,0
256,1,589,0,0.154,0,0.154,0.154,0.154,0,0,0.231,0.154
257,1,851.08,0.167,0.167,0.167,0,0.167,0.167,0,0.167,0,0
258,2,240.7,0.095,0.19,0.19,0.143,0.19,0.19,0,0,0,0
259,2,240.78,0.1,0.2,0.2,0.1,0.2,0.2,0,0,0,0
260,2,312.54,0.135,0.192,0.192,0.096,0.192,0.192,0,0,0,0
261,2,341.09,0.143,0.19,0.19,0.095,0.19,0.19,0,0,0,0
262,2,375.23,0.15,0.2,0.2,0.05,0.2,0.2,0,0,0,0
263,2,403.25,0.152,0.19,0.19,0.086,0.19,0.19,0,0,0,0
264,1,560.11,0.17,0.189,0.189,0.075,0.189,0.189,0,0,0,0
265,1,578.26,0.196,0.196,0.196,0.02,0.196,0.196,0,0,0,0
266,1,657,0,0,0.167,0.167,0.167,0.167,0,0,0.167,0.167
267,1,593,0.077,0,0.154,0.154,0.154,0.154,0,0,0.154,0.154
268,1,750,0.143,0,0.143,0.143,0.143,0.143,0,0,0.143,0.143
269,1,895,0.2,0,0.133,0.133,0.133,0.133,0,0,0.133,0.133
270,2,467,0.192,0.192,0.192,0,0.192,0.192,0,0,0.038,0
271,2,127,0,0,0.215,0.032,0.215,0.323,0.215,0,0,0
272,2,375,0.167,0,0.167,0.333,0.167,0.167,0,0,0,0
273,1,637.2,0.238,0.238,0.238,0,0.048,0.238,0,0,0,0
274,2,470.5,0,0.222,0.222,0,0.222,0.222,0,0,0,0.111
275,1,920.2,0,0.167,0.167,0,0.167,0.167,0,0,0,0.333
276,2,480.8,0.035,0.263,0.175,0,0.175,0.263,0,0,0.088,0
277,1,671.6,0.032,0.242,0.161,0,0.161,0.242,0,0,0.161,0
278,1,804,0.182,0.182,0.182,0.091,0.182,0,0,0,0.182,0
279,1,613,0.174,0.174,0.174,0.13,0.174,0,0,0,0.174,0
280,1,582,0.167,0.167,0.167,0.167,0.167,0,0,0,0.167,0
281,2,165.03,0.05,0.225,0.25,0.225,0,0.25,0,0,0,0
282,2,131.3,0,0.1,0.1,0,0.4,0,0.4,0,0,0
283,2,136,0,0.1,0,0,0.4,0.1,0.4,0,0,0
284,2,380,0,0.1,0.1,0,0.5,0,0.3,0,0,0
285,1,720,0,0,0.25,0,0.25,0,0,0.25,0,0.25
286,1,818,0,0,0.222,0,0.222,0,0,0.222,0.111,0.222
287,1,735,0,0,0.182,0,0.182,0,0,0.182,0.273,0.182
288,1,685,0,0,0.167,0,0.167,0,0,0.167,0.333,0.167
289,2,150,0,0.244,0.244,0,0.244,0.244,0,0.024,0,0
290,2,124,0,0.2,0.2,0,0.4,0.2,0,0,0,0
291,2,109,0,0.143,0.143,0,0.571,0.143,0,0,0,0
292,2,115,0,0.167,0.167,0,0.5,0.167,0,0,0,0
293,2,214,0,0.222,0,0.111,0.222,0.222,0,0,0,0.222
294,1,546,0,0.2,0,0.1,0.2,0.2,0,0,0.1,0.2
295,1,690,0,0.182,0,0.091,0.182,0.182,0,0,0.182,0.182
296,1,664,0,0.167,0,0.083,0.167,0.167,0,0,0.25,0.167
297,1,660,0,0.154,0,0.077,0.154,0.154,0,0,0.308,0.154
298,2,310,0,0.25,0.25,0,0.25,0,0.25,0,0,0
299,2,245.8,0.13,0.217,0.217,0,0.217,0.217,0,0,0,0
300,2,169,0.048,0.238,0.238,0,0.238,0.238,0,0,0,0
301,1,516.6,0.259,0.185,0.185,0,0.185,0.185,0,0,0,0
302,2,193,0.133,0.333,0,0.2,0,0.333,0,0,0,0
303,2,166,0.07,0.233,0.233,0,0.233,0.233,0,0,0,0
304,2,131,0.086,0.229,0.229,0,0.229,0.229,0,0,0,0
305,2,472,0.167,0.167,0.167,0.167,0.167,0.167,0,0,0,0
306,2,485,0.167,0.167,0.167,0,0.333,0.167,0,0,0,0
307,1,626,0.167,0.167,0,0.167,0.167,0.167,0,0,0.167,0
308,2,396,0.167,0,0.167,0.167,0.167,0.333,0,0,0,0
309,2,473,0.16,0.2,0.2,0,0.2,0.2,0,0,0.04,0
310,1,747,0.182,0.182,0.182,0,0.182,0.182,0,0.091,0,0
