Atomic size difference,Atomic packing effect,Cohesion energy,Shear modulus,Lattice distortion energy,Difference in Shear modulus,Melting temperature,Entropy of mixing,Mixing enthalpy,Solid solution phase forming ability,Phase formation coefficient,VEC,Energy term,Local size mismatch in n-element alloys,Local modulus mismatch,Peierls-Nabarro stress coefficient,Work function,Local atomic distortion from one single atom,Local atomic distortion from a group of adjacent atoms,Pauling electronegativity,Allen electronegativity,Number of mobile electrons,formula,YS
0.022402896086215852,1.1701027007868408,348.29053390108095,301.56501801506715,1.924425651192446,1.1426806703609653,1524.4821192269899,9.703427372685265,-0.9552818859392995,15.485169082140823,19333.78259612071,9.223386832623648,-18.264075688692277,1.153977085036288,165.0059452993833,-652.4375813805444,4.691320013101867,0.015264201936510069,165.00719523403257,0.1675355938244081,0.002021804538138115,1.6061808057648215,Al0.053 Cu1 Mn1 Ni1,330.0
0.028685787364124936,1.169917079464852,347.8936033429766,296.42751526840254,2.436908811805773,1.1584421061520036,1513.4635711989717,10.088012632708608,-1.9267804818625054,7.924016134230812,12259.480515091333,9.107360977177757,-41.99354188896234,1.4229740881708721,163.9524355515797,-412.5905733654456,4.682160077145613,0.018175006433313344,163.95389609533038,0.16761941396324867,0.002320522595583781,1.6021504339440695,Al0.111 Cu1 Mn1 Ni1,515.0
0.05205384160744686,1.187491241854211,405.04545454545456,76.51363636363637,5.091575534321133,0.3190486359662594,1765.308181818182,15.54721513376999,-7.280991735537192,3.769490074569722,5737.821528373337,8.0,-99.26858597864543,2.6756198347107434,13.103925619834708,-37.4005737994185,4.757727272727274,0.03541996574346382,13.104848137190668,0.12737414790183682,0.006086357230441439,1.6745454545454546,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,750.0
0.03715865386953275,1.1062010144295038,576.4117647058823,141.03529411764706,3.0382664046265013,0.9499926132754527,2353.7335294117647,12.707663913447359,-4.927335640138408,6.070309964258247,9203.346538723963,4.882352941176471,-43.13637971664502,2.823529411764706,65.84498269896193,-138.3874981185208,4.188235294117646,0.035388553393473986,65.84527506969387,0.2432166220872159,0.004002110019498809,1.6276470588235292,Al0.25 Mo1 Nb1 Ti1 V1,1250.0
,,623.0377358490566,228.56603773584908,,1.1230959740298598,2433.026603773585,14.431908651129232,-4.983980064079743,7.045216321087149,,4.320754716981132,,,128.47561409754363,,3.813207547169811,,,0.12038268161176621,,1.5220754716981135,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,1188.0
0.04917949836710549,1.1690059586655366,397.7272727272728,66.61831046312179,4.292233511495485,0.2959927761656968,1579.2409605488851,12.261545287710602,-5.958972635183841,3.2495424536179884,5069.638792551249,8.71483704974271,-57.08307217508745,2.5705708334191457,9.605417375231326,-40.469978955326695,4.897272727272728,0.03414917382357943,9.607024603658289,0.10154509272254103,0.0032784988362111306,1.6614665523156091,Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,268.0
0.050196217170383604,1.2430899238604047,398.0,63.31875,4.127697683192107,0.33938849129213183,1569.203125,12.255308445321424,-11.734375,1.6388660077965185,4863.873452745564,8.625,-50.97420990509807,2.75390625,11.169921875,-40.48904748068702,4.871875,0.03283014236622484,11.170890287493863,0.09549010092674522,0.0027587050817026158,1.6368749999999999,Al0.4 Co1 Cu0.6 Ni1 Si0.2,588.0
0.05201294647922288,1.1687313554975265,392.66666666666663,65.05,4.428902392705828,0.3212309331083967,1554.3733333333332,12.975746340770252,-5.8888888888888875,3.424950694900335,4796.334167981711,8.5,-62.983372819256,2.888888888888889,10.586111111111112,-37.94217072983959,4.846666666666667,0.038095238095238,10.587770562770563,0.10645812948447535,0.0036006624270282887,1.6466666666666665,Al0.5 Co0.5 Cu0.5 Fe0.5 Ni1,544.0
0.057297394909558985,1.1870545399471932,404.6363636363636,75.49999999999999,5.526594181731099,0.3440391121916693,1746.0218181818184,15.74495536409992,-10.84297520661157,2.535377520300378,4795.917241797669,7.636363636363637,-127.80269109106065,3.1404958677685952,13.957024793388431,-33.3584133981839,4.746363636363637,0.043718657580043785,13.957854746513613,0.13087752144594847,0.0063582115063644945,1.670909090909091,Al0.5 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,1580.0
0.04609097365551073,1.1697593766080534,373.66666666666663,240.28888888888886,4.691036874271981,1.238177882014127,1712.1633333333334,13.14521343892854,-9.28395061728395,2.4242645600756596,6187.7944280857155,7.222222222222222,-232.6426601998691,2.0246913580246915,131.97283950617282,-130.20129414788542,4.74,0.028875231684713606,131.97364159594184,0.1388044187577134,0.0027594991447813786,1.6788888888888889,Al0.5 Cr1 Fe1 Mn1 Ni1,1091.0
0.05719267606958679,1.1708804512326583,496.09999999999997,123.57000000000001,4.135602406591821,1.0436511459151758,2074.047,12.228301672142035,-10.96,2.3140577005658,3738.39604482475,4.6,-113.80618031244649,3.9100000000000015,60.05500000000001,-78.81739071269045,4.105,0.05075485262401152,60.055172537742635,0.04686149805543988,0.007223190042151075,1.585,Al0.5 Cr1 Nb1 Ti2 V0.5,1240.0
,,612.2727272727273,221.20000000000002,,1.1520256991489004,2378.497272727273,14.697168880613484,-8.59504132231405,4.0671329884822205,,4.272727272727273,,,126.4,,3.827272727272727,,,0.12134235427973517,,1.517272727272727,Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,1302.0
