Atomic size difference,Atomic packing effect,Cohesion energy,Shear modulus,Lattice distortion energy,Difference in Shear modulus,Melting temperature,Entropy of mixing,Mixing enthalpy,Solid solution phase forming ability,Phase formation coefficient,VEC,Energy term,Local size mismatch in n-element alloys,Local modulus mismatch,Peierls-Nabarro stress coefficient,Work function,Local atomic distortion from one single atom,Local atomic distortion from a group of adjacent atoms,Pauling electronegativity,Allen electronegativity,Number of mobile electrons,formula,CFS
0.022402896086215852,1.1701027007868408,348.29053390108095,301.56501801506715,1.924425651192446,1.1426806703609653,1524.4821192269899,9.703427372685265,-0.9552818859392995,15.485169082140823,19333.78259612071,9.223386832623648,-18.264075688692277,1.153977085036288,165.0059452993833,-652.4375813805444,4.691320013101867,0.015264201936510069,165.00719523403257,0.1675355938244081,0.002021804538138115,1.6061808057648215,Al0.053 Cu1 Mn1 Ni1,45.0
0.028685787364124936,1.169917079464852,347.8936033429766,296.42751526840254,2.436908811805773,1.1584421061520036,1513.4635711989717,10.088012632708608,-1.9267804818625054,7.924016134230812,12259.480515091333,9.107360977177757,-41.99354188896234,1.4229740881708721,163.9524355515797,-412.5905733654456,4.682160077145613,0.018175006433313344,163.95389609533038,0.16761941396324867,0.002320522595583781,1.6021504339440695,Al0.111 Cu1 Mn1 Ni1,40.0
0.05079020617103486,1.18791185258463,418.4912280701754,81.10526315789474,5.259905035572259,0.25551702838214985,1823.1919298245614,13.671020946737862,-12.403816558941212,2.009453698715663,5299.574445090744,7.912280701754386,-109.84914375598393,2.2437673130193905,10.177593105570944,-38.07843718610003,4.871929824561403,0.03324405345179236,10.179006608188407,0.12513950356468626,0.005689286784808513,1.71719298245614,Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,43.5
0.0611290597080248,1.1869908821422857,422.48387096774195,78.24193548387096,6.116356804818255,0.28242667982628983,1832.6925806451611,13.969796787396522,-16.96149843912591,1.5094387454780556,3738.476522925987,7.596774193548387,-174.14292677167035,3.2154006243496354,11.3366285119667,-30.585019172309384,4.785483870967742,0.04820914355971131,11.338556121016534,0.13948629179362057,0.00826181599839912,1.7012903225806448,Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti1,14.2
0.03715865386953275,1.1062010144295038,576.4117647058823,141.03529411764706,3.0382664046265013,0.9499926132754527,2353.7335294117647,12.707663913447359,-4.927335640138408,6.070309964258247,9203.346538723963,4.882352941176471,-43.13637971664502,2.823529411764706,65.84498269896193,-138.3874981185208,4.188235294117646,0.035388553393473986,65.84527506969387,0.2432166220872159,0.004002110019498809,1.6276470588235292,Al0.25 Mo1 Nb1 Ti1 V1,12.91
0.047091075848100426,1.1696209618828832,404.2006932409012,80.20596187175045,4.812512078916703,0.2986055694887066,1749.9633310225304,12.82401566345834,-8.51908148584233,2.6342695752829437,5782.915078822103,7.583708838821491,-83.69901761796042,2.112078911719917,11.366481886528359,-42.07512538270586,4.871715771230503,0.030392969502249144,11.367598897109147,0.10668246793965439,0.0027489259663309824,1.710568457538995,Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,30.2
0.050196217170383604,1.2430899238604047,398.0,63.31875,4.127697683192107,0.33938849129213183,1569.203125,12.255308445321424,-11.734375,1.6388660077965185,4863.873452745564,8.625,-50.97420990509807,2.75390625,11.169921875,-40.48904748068702,4.871875,0.03283014236622484,11.170890287493863,0.09549010092674522,0.0027587050817026158,1.6368749999999999,Al0.4 Co1 Cu0.6 Ni1 Si0.2,40.5
0.06005205155927783,1.1870197089552685,411.50000000000006,78.22000000000001,5.981784855819664,0.3286339852908416,1784.8469999999998,14.533431935812189,-15.520000000000003,1.6713886849444954,4030.0690143726456,7.300000000000001,-163.379322342866,3.2200000000000006,13.396000000000003,-31.402399848168596,4.776,0.04790046656298597,13.396995334370143,0.13163965967746952,0.006407787766220233,1.6910000000000003,Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,27.5
0.04609097365551073,1.1697593766080534,373.66666666666663,240.28888888888886,4.691036874271981,1.238177882014127,1712.1633333333334,13.14521343892854,-9.28395061728395,2.4242645600756596,6187.7944280857155,7.222222222222222,-232.6426601998691,2.0246913580246915,131.97283950617282,-130.20129414788542,4.74,0.028875231684713606,131.97364159594184,0.1388044187577134,0.0027594991447813786,1.6788888888888889,Al0.5 Cr1 Fe1 Mn1 Ni1,50.0
0.05986666487055129,1.1855987465696922,417.7692307692308,65.67692307692307,5.0776142066361425,0.4088959566070747,1795.0007692307695,16.00545758023486,-11.171597633136095,2.5716830852551014,4465.786592874553,7.0,-97.43996628255474,4.035502958579881,14.462721893491128,-32.21340703102157,4.5200000000000005,0.050287161398272544,14.46410639060212,0.14107365150136644,0.009468319825737967,1.6269230769230771,Al0.5 Cr1 Fe1 Ni1 Cu1 V1 Ti1,9.3
,,612.2727272727273,221.20000000000002,,1.1520256991489004,2378.497272727273,14.697168880613484,-8.59504132231405,4.0671329884822205,,4.272727272727273,,,126.4,,3.827272727272727,,,0.12134235427973517,,1.517272727272727,Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,46.0
0.0365840327752956,1.1061320209873042,562.5555555555554,134.64444444444442,2.8962359280442347,0.9866509142492889,2274.83,13.14521343892854,-7.802469135802469,3.8325208811226306,9821.650757423355,4.777777777777778,-36.39298126208019,2.765432098765432,64.7679012345679,-142.0123334371328,4.188888888888889,0.03470562195661796,64.76823569917859,0.23783488410820952,0.0042804710714700045,1.6144444444444441,Al0.5 Mo1 Nb1 Ti1 V1,11.25
