formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,YS
Al1 Mo1 Nb1 Ti1 V1,Al1 Mo1 Nb1 Ti1 V1,5,0.447213595499958,0.34199518933533946,0.27594593229224296,0.25169979012836535,0.2349237886176038,13.0,42.0,29.0,28.2,10.64,13.0,43.0,73.0,30.0,51.8,8.479999999999999,43.0,26.9815386,95.96,68.97846139999999,62.93128372000001,25.201525024,26.9815386,933.47,2896.0,1962.53,2140.6940000000004,562.7671999999999,933.47,4.0,13.0,9.0,6.6,2.5599999999999996,4.0,3.0,5.0,2.0,4.2,0.64,3.0,121.0,164.0,43.0,150.4,11.759999999999996,121.0,1.54,2.16,0.6200000000000001,1.7080000000000002,0.18080000000000013,1.54,1.0,2.0,1.0,1.6,0.48,1.0,0.0,1.0,1.0,0.2,0.31999999999999995,0.0,0.0,5.0,5.0,2.8,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.6,0.8800000000000001,3.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,8.0,8.0,5.2,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.6,0.8800000000000001,5.0,13.01,18.18,5.17,16.01,1.328,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.50666666666e-06,7.210666666656e-06,0.0,194.0,229.0,35.0,221.2,10.880000000000006,194.0,1.6,0.2,2.8,0.0,False,0.09162682579073211,0.012487247755437398,Al0.08575465840876438 Mo0.3049233792670687 Nb0.29528171091380456 Ti0.15213432765662682 V0.16190592375373547 ,Al0.2Mo0.2Nb0.2Ti0.2V0.2,0.022800253863389443,2.237839162661951,-0.0045141815632784524,1.6800000000000004,1.0398709885725406,-0.013380866803977112,62.931283719999996,314.6364186,-25.739783075944985,0.06639822311810774,0.15200000000000014,6.6000000000000005,12.800000000000002,5.588000000000001,17.0,2.0,1.0,14.0,0.0,53.14,0.6016685208907827,14.996000000000002,-0.1378945881679891,1375.0
Al1 Nb1 Ti1 Zr1,Al1 Nb1 Ti1 Zr1,4,0.5,0.3968502629920499,0.32987697769322355,0.3047534135511189,0.2871745887492587,13.0,41.0,28.0,29.0,11.5,13.0,43.0,73.0,30.0,51.75,10.625,43.0,26.9815386,92.90638,65.92484139999999,64.74472965,27.320460349999998,26.9815386,933.47,2750.0,1816.53,1938.1175,502.32374999999996,933.47,4.0,13.0,9.0,6.5,3.25,4.0,3.0,5.0,2.0,4.25,0.75,3.0,121.0,175.0,54.0,155.0,17.0,121.0,1.33,1.61,0.28,1.52,0.09500000000000003,1.33,1.0,2.0,1.0,1.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,0.5,3.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,8.0,8.0,5.5,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,7.0,1.0,5.0,16.48,23.195,6.715,18.636249999999997,2.279374999999998,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,5.633333333325e-06,8.4499999999875e-06,0.0,194.0,229.0,35.0,210.5,16.5,194.0,1.75,0.25,2.0,0.0,False,0.019409168797571597,0.0031613993773591115,Al0.10418430483013069 Nb0.35874109175463986 Ti0.18482971609720822 Zr0.3522448873180213 ,Al0.25Nb0.25Ti0.25Zr0.25,0.04769995985337032,1.03897983809273,-0.01053328037145776,3.25,1.0716929563917506,-0.011525651318350769,64.74472965,258.9789186,-5.065583164988959,0.07327623672000354,0.15625,6.5,21.5,5.515000000000001,10.0,1.0,1.0,8.0,0.0,34.385000000000005,0.1416492155949931,2.598750000000001,-0.009437934473194574,1590.0
Al1.5 Mo1 Nb1 Ti1 V1,Al1.5 Mo1 Nb1 Ti1 V1,5,0.45454545454545453,0.35390876507938734,0.2968124383805183,0.28104713050088526,0.2745624943044193,13.0,42.0,29.0,26.818181818181817,10.677685950413222,13.0,43.0,73.0,30.0,53.72727272727273,10.512396694214877,73.0,26.9815386,95.96,68.97846139999999,59.66312507272728,25.287319947107438,26.9815386,933.47,2896.0,1962.53,2030.9463636363637,631.3312396694215,933.47,4.0,13.0,9.0,7.181818181818182,3.173553719008264,13.0,3.0,5.0,2.0,4.090909090909091,0.6611570247933884,3.0,121.0,164.0,43.0,147.72727272727272,14.578512396694219,121.0,1.54,2.16,0.6200000000000001,1.6990909090909092,0.16760330578512403,1.61,1.0,2.0,1.0,1.6363636363636365,0.4628099173553718,2.0,0.0,1.0,1.0,0.2727272727272727,0.396694214876033,1.0,0.0,5.0,5.0,2.5454545454545454,1.5867768595041325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.454545454545454,0.9586776859504134,3.0,0.0,1.0,1.0,0.36363636363636365,0.4628099173553719,0.0,0.0,5.0,5.0,1.3636363636363635,1.9834710743801651,5.0,0.0,8.0,8.0,4.7272727272727275,2.578512396694215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.454545454545454,0.9586776859504131,5.0,13.01,18.18,5.17,16.052727272727275,1.2383471074380166,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.0969696969636364e-06,6.704132231395042e-06,0.0,194.0,229.0,35.0,221.54545454545453,10.016528925619843,225.0,1.6363636363636365,0.2727272727272727,2.5454545454545454,0.0,False,0.09162682579073211,0.011546244704819334,Al0.12334335401775465 Mo0.2923866218279927 Nb0.283141365379068 Ti0.1458794082451587 V0.15524925053002595 ,Al0.2727272727272727Mo0.18181818181818182Nb0.18181818181818182Ti0.18181818181818182V0.18181818181818182,0.021861733386953512,1.7778786227975882,-0.0019486448330770663,1.5867768595041323,1.0398597263361262,-0.01325390193646719,59.66312507272727,328.1271879,-27.73157691560352,0.06329820590635526,0.14297520661157032,7.181818181818182,15.140495867768593,5.388181818181819,17.0,2.0,1.0,14.0,0.0,50.72636363636364,0.6195145148099235,14.587603305785125,-0.13807029523176567,500.0
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,Al16.7 Co16.7 Cr16.7 Cu16.7 Fe16.7 Ni16.7,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,13.0,29.0,16.0,24.5,3.9999999999999996,13.0,49.0,73.0,24.0,60.0,6.0,49.0,26.9815386,63.546,36.5644614,52.665872266666675,8.784701977777775,26.9815386,933.47,2180.0,1246.53,1629.7066666666665,322.7244444444445,933.47,6.0,13.0,7.0,9.5,1.8333333333333335,6.0,3.0,4.0,1.0,3.8333333333333335,0.2777777777777777,3.0,121.0,139.0,18.0,128.99999999999997,5.333333333333333,121.0,1.61,1.91,0.2999999999999998,1.7983333333333331,0.10888888888888891,1.61,1.0,2.0,1.0,1.6666666666666665,0.4444444444444445,1.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,10.0,10.0,5.999999999999999,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.833333333333333,2.222222222222222,3.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444444,0.0,0.0,5.0,5.0,0.8333333333333333,1.3888888888888884,0.0,0.0,5.0,5.0,2.333333333333333,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.499999999999999,1.4999999999999998,1.0,10.245,16.48,6.235000000000001,11.6725,1.6024999999999998,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7090881166666667,0.746985922222222,0.0,194.0,229.0,35.0,221.16666666666663,9.05555555555558,194.0,1.6666666666666665,0.16666666666666666,5.999999999999999,0.0,False,0.022248762806663658,0.0035163965825742035,Al0.08538590374484685 Co0.18650026561666463 Cr0.1645471022066707 Cu0.2010979699790003 Fe0.1767273492191054 Ni0.1857414092337119 ,Al0.16666666666666666Co0.16666666666666666Cr0.16666666666666666Cu0.16666666666666666Fe0.16666666666666666Ni0.16666666666666666,0.04423110219218307,5.081281140361571,0.0008297269616525845,2.6388888888888884,1.0762299302718474,-0.014896688227162048,52.66587226666667,5277.120401120001,-7.614374011709079,0.07483576592495514,0.20083333333333328,9.5,4.777777777777778,4.015000000000001,29.0,2.0,1.0,26.0,0.0,70.23500000000001,0.4061731101520389,15.585833333333332,-0.0807647221972821,1510.0
AlCoCrFeNiSi,Al1 Co1 Cr1 Fe1 Ni1 Si1,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,13.0,28.0,15.0,22.0,5.666666666666667,13.0,49.0,78.0,29.0,62.333333333333336,8.777777777777779,49.0,26.9815386,58.933195,31.951656399999997,46.75578893333333,12.814846422222223,26.9815386,933.47,2180.0,1246.53,1684.5783333333336,250.36944444444427,933.47,6.0,14.0,8.0,10.0,2.3333333333333335,6.0,3.0,4.0,1.0,3.6666666666666665,0.4444444444444445,3.0,111.0,139.0,28.0,125.5,6.833333333333333,111.0,1.61,1.91,0.2999999999999998,1.7983333333333336,0.10888888888888877,1.61,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,1.0,0.0,2.0,2.0,0.5,0.6666666666666666,0.0,0.0,8.0,8.0,4.333333333333333,2.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.666666666666667,2.3333333333333335,3.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777785,0.0,0.0,5.0,5.0,1.5,2.0,0.0,0.0,5.0,5.0,2.3333333333333335,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.0,2.0,10.245,20.44,10.195000000000002,13.234166666666667,3.4838888888888895,10.245,0.0,0.773,0.773,0.12883333333333333,0.21472222222222223,0.0,0.0,2.1106628,2.1106628,0.7090881166666666,0.7469859222222223,0.0,194.0,229.0,35.0,221.5,9.166666666666666,194.0,1.8333333333333333,0.5,4.333333333333333,0.0,False,0.022248762806663658,0.0035163965825742035,Al0.09617895885388504 Co0.21007450394370702 Cr0.18534638949249885 Fe0.19906625922345325 Ni0.20921972565325153 Si0.10011416283320435 ,Al0.16666666666666666Co0.16666666666666666Cr0.16666666666666666Fe0.16666666666666666Ni0.16666666666666666Si0.16666666666666666,0.07226990418277375,0.9180965204597172,0.0038697137315957066,4.75,1.1608451155837025,-0.014896688227162048,46.755788933333335,280.5347336,-2.852165817536579,0.06910943650007956,0.18277777777777773,10.000000000000002,27.33333333333333,4.205,30.0,1.0,3.0,26.0,0.0,69.33500000000001,0.42370956301484836,16.035833333333333,-0.08767254262118951,2411.0
AlCoCrFeNiSi0.2,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,6,0.4317296984739163,0.32901681690134393,0.2653360233747671,0.24201911747930127,0.2258882587487766,13.0,28.0,15.0,23.23076923076923,4.644970414201184,13.0,49.0,78.0,29.0,59.92307692307693,6.834319526627219,49.0,26.9815386,58.933195,31.951656399999997,49.62814107692308,10.367357958579879,26.9815386,933.47,2180.0,1246.53,1684.2057692307694,288.7445266272188,933.47,6.0,14.0,8.0,9.384615384615383,1.9822485207100589,6.0,3.0,4.0,1.0,3.769230769230769,0.35502958579881655,3.0,111.0,139.0,28.0,127.73076923076924,5.976331360946747,121.0,1.61,1.91,0.2999999999999998,1.7826923076923078,0.11360946745562124,1.61,1.0,2.0,1.0,1.8076923076923077,0.3106508875739645,1.0,0.0,2.0,2.0,0.2692307692307692,0.4142011834319526,0.0,0.0,8.0,8.0,5.0,2.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.076923076923076,2.2189349112426036,3.0,0.0,1.0,1.0,0.1923076923076923,0.3106508875739645,0.0,0.0,5.0,5.0,1.1153846153846154,1.7159763313609464,0.0,0.0,5.0,5.0,2.692307692307692,1.5088757396449706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.1538461538461537,2.0,10.245,20.44,10.195000000000002,12.125576923076922,2.314349112426035,10.245,0.0,0.773,0.773,0.029730769230769234,0.05717455621301775,0.0,0.0,2.1106628,2.1106628,0.8181785961538461,0.7779910798816567,0.0,194.0,229.0,35.0,220.65384615384616,10.251479289940823,194.0,1.8076923076923077,0.2692307692307692,5.0,0.0,False,0.022248762806663658,0.0036031440845614732,Al0.10455272574151842 Co0.22836452232217863 Cr0.2014834685123763 Fe0.21639785097485492 Ni0.227435323241249 Si0.021766109207822685 ,Al0.1923076923076923Co0.1923076923076923Cr0.1923076923076923Fe0.1923076923076923Ni0.1923076923076923Si0.038461538461538464,0.05470525282866581,1.4613371999575546,0.0005982403364176351,3.454142011834319,1.1596437456824358,-0.014221596536363382,49.62814107692308,258.0663336,-4.752151685389969,0.07352031122613935,0.19363905325443773,9.384615384615387,16.390532544378697,4.139615384615385,30.0,1.0,3.0,26.0,0.0,73.8896153846154,0.39230367485545803,15.316642011834317,-0.07791749268471773,1265.0
AlCoCrFeNiSi0.4,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,6,0.4206598774666869,0.3180075804404787,0.25561006228484623,0.2330662693525845,0.21752248267022922,13.0,28.0,15.0,22.888888888888886,4.979423868312758,13.0,49.0,78.0,29.0,60.59259259259259,7.325102880658436,49.0,26.9815386,58.933195,31.951656399999997,48.830265481481476,11.165419657064472,26.9815386,933.47,2180.0,1246.53,1684.3092592592593,278.0886145404663,933.47,6.0,14.0,8.0,9.555555555555555,2.0987654320987654,6.0,3.0,4.0,1.0,3.7407407407407405,0.384087791495199,3.0,111.0,139.0,28.0,127.1111111111111,6.213991769547323,121.0,1.61,1.91,0.2999999999999998,1.787037037037037,0.11262002743484223,1.61,1.0,2.0,1.0,1.8148148148148149,0.30178326474622763,1.0,0.0,2.0,2.0,0.3333333333333333,0.4938271604938271,0.0,0.0,8.0,8.0,4.814814814814815,2.4965706447187928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.962962962962963,2.263374485596708,3.0,0.0,1.0,1.0,0.18518518518518517,0.30178326474622763,0.0,0.0,5.0,5.0,1.222222222222222,1.810699588477366,0.0,0.0,5.0,5.0,2.5925925925925926,1.5637860082304527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.111111111111111,2.0,10.245,20.44,10.195000000000002,12.433518518518516,2.6848422496570636,10.245,0.0,0.773,0.773,0.05725925925925926,0.10603566529492454,0.0,0.0,2.1106628,2.1106628,0.7878756851851851,0.771623196159122,0.0,194.0,229.0,35.0,220.88888888888886,9.958847736625534,194.0,1.8148148148148149,0.3333333333333333,4.814814814814815,0.0,False,0.022248762806663658,0.0035911979176294403,Al0.10232549778204951 Co0.2234998012404523 Cr0.1971913794132268 Fe0.21178804916775779 Ni0.22259039636534828 Si0.04260487603116528 ,Al0.18518518518518517Co0.18518518518518517Cr0.18518518518518517Fe0.18518518518518517Ni0.18518518518518517Si0.07407407407407407,0.060588211797255084,1.2384774623187484,-0.00830737688907384,3.868312757201645,1.159975207313247,-0.01458502024404227,48.83026548148149,263.6834336,-3.9731116220593043,0.07234079298402542,0.1910836762688614,9.555555555555555,19.835390946502052,4.1577777777777785,30.0,1.0,3.0,26.0,0.0,72.62444444444446,0.4016231767695575,15.601646090534976,-0.08144320173831529,1481.0
AlCoCrFeNiSi0.6,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,6,0.4134227465282223,0.30968808786738716,0.24714191471412117,0.22491127014300064,0.2097787348707128,13.0,28.0,15.0,22.571428571428573,5.255102040816326,13.0,49.0,78.0,29.0,61.21428571428572,7.806122448979596,49.0,26.9815386,58.933195,31.951656399999997,48.089381,11.82506107142857,26.9815386,933.47,2180.0,1246.53,1684.4053571428576,268.19119897959155,933.47,6.0,14.0,8.0,9.714285714285715,2.1938775510204085,6.0,3.0,4.0,1.0,3.714285714285715,0.40816326530612224,3.0,111.0,139.0,28.0,126.53571428571429,6.403061224489798,121.0,1.61,1.91,0.2999999999999998,1.7910714285714289,0.11147959183673459,1.61,1.0,2.0,1.0,1.8214285714285714,0.29336734693877553,1.0,0.0,2.0,2.0,0.3928571428571429,0.5612244897959184,0.0,0.0,8.0,8.0,4.642857142857143,2.6530612244897958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.857142857142858,2.295918367346939,3.0,0.0,1.0,1.0,0.17857142857142858,0.29336734693877553,0.0,0.0,5.0,5.0,1.3214285714285716,1.8877551020408163,0.0,0.0,5.0,5.0,2.5,1.6071428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.0714285714285714,2.0,10.245,20.44,10.195000000000002,12.719464285714286,2.9974489795918373,10.245,0.0,0.773,0.773,0.08282142857142857,0.14789540816326532,0.0,0.0,2.1106628,2.1106628,0.7597372678571429,0.7641640943877551,0.0,194.0,229.0,35.0,221.1071428571429,9.68112244897957,194.0,1.8214285714285714,0.3928571428571429,4.642857142857143,0.0,False,0.022248762806663658,0.0035717361769645023,Al0.10019118135159907 Co0.21883801792808627 Cr0.19307834004232363 Fe0.20737055086176778 Ni0.21794758151938545 Si0.0625743282968378 ,Al0.17857142857142858Co0.17857142857142858Cr0.17857142857142858Fe0.17857142857142858Ni0.17857142857142858Si0.10714285714285715,0.06527693371458006,1.0939234864035496,-0.003964878888534878,4.215561224489796,1.1602845373379387,-0.01477811766176137,48.089380999999996,269.3005336,-3.4681640188311147,0.07121496825098764,0.18839285714285708,9.714285714285715,22.755102040816325,4.1746428571428575,30.0,1.0,3.0,26.0,0.0,71.44964285714286,0.4098742125356416,15.807589285714286,-0.08412840399077967,1834.0
AlCoCrFeNiSi0.8,Al1 Co1 Cr1 Fe1 Ni1 Si0.8,6,0.40946007196682477,0.30456155141004604,0.24092376019525755,0.21825992614635956,0.20295127036875918,13.0,28.0,15.0,22.275862068965516,5.481569560047563,13.0,49.0,78.0,29.0,61.79310344827586,8.335315101070154,49.0,26.9815386,58.933195,31.951656399999997,47.399592,12.368733448275862,26.9815386,933.47,2180.0,1246.53,1684.4948275862073,258.9740784780021,933.47,6.0,14.0,8.0,9.862068965517242,2.271105826397146,6.0,3.0,4.0,1.0,3.689655172413793,0.42806183115338886,3.0,111.0,139.0,28.0,126.0,6.551724137931035,121.0,1.61,1.91,0.2999999999999998,1.7948275862068965,0.1102259215219976,1.61,1.0,2.0,1.0,1.8275862068965518,0.28537455410225915,1.0,0.0,2.0,2.0,0.4482758620689655,0.6183115338882283,0.0,0.0,8.0,8.0,4.482758620689656,2.7824019024970275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.7586206896551735,2.318668252080856,3.0,0.0,1.0,1.0,0.1724137931034483,0.2853745541022593,0.0,0.0,5.0,5.0,1.4137931034482758,1.9500594530321047,0.0,0.0,5.0,5.0,2.413793103448276,1.6409036860879906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,1.0344827586206897,2.0,10.245,20.44,10.195000000000002,12.985689655172413,3.2612960760998817,10.245,0.0,0.773,0.773,0.10662068965517242,0.18382877526753866,0.0,0.0,2.1106628,2.1106628,0.7335394310344827,0.7558810820451843,0.0,194.0,229.0,35.0,221.3103448275862,9.417360285374563,194.0,1.8275862068965518,0.4482758620689655,4.482758620689656,0.0,False,0.022248762806663658,0.0035463722277389734,Al0.09814408136241139 Co0.21436673314941557 Cr0.189133375400915 Fe0.2031335686573435 Ni0.21349449008206509 Si0.08172775134784953 ,Al0.1724137931034483Co0.1724137931034483Cr0.1724137931034483Fe0.1724137931034483Ni0.1724137931034483Si0.13793103448275862,0.0691017180245149,0.9927785104837079,8.459174186972999e-05,4.506539833531511,1.160573881179123,-0.014870722517651312,47.399592000000005,274.9176336,-3.1142565018212793,0.07013900743512609,0.18561236623067773,9.862068965517242,25.231866825208087,4.190344827586207,30.0,1.0,3.0,26.0,0.0,70.35586206896552,0.41719754661663655,15.948513674197384,-0.08615815125756505,2179.0
AlCrFeNiMo0.2,Al1 Cr1 Fe1 Ni1 Mo0.2,5,0.47856550576766144,0.3782044320493947,0.31417357671997875,0.29024147892073715,0.2734996090327863,13.0,42.0,29.0,23.666666666666668,5.079365079365079,13.0,49.0,73.0,24.0,59.047619047619044,7.573696145124717,49.0,26.9815386,95.96,68.97846139999999,50.6447710952381,11.268205950113375,26.9815386,933.47,2896.0,1962.53,1721.8261904761905,375.4077097505669,933.47,6.0,13.0,7.0,9.095238095238095,2.2902494331065757,6.0,3.0,5.0,2.0,3.8095238095238093,0.3854875283446713,3.0,121.0,154.0,33.0,130.19047619047618,7.324263038548754,121.0,1.61,2.16,0.55,1.7719047619047619,0.13038548752834467,1.61,1.0,2.0,1.0,1.7142857142857142,0.40816326530612246,1.0,0.0,1.0,1.0,0.23809523809523808,0.36281179138321995,0.0,0.0,8.0,8.0,4.761904761904762,2.2675736961451247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,6.7142857142857135,2.1768707482993195,3.0,0.0,1.0,1.0,0.2857142857142857,0.40816326530612235,0.0,0.0,5.0,5.0,1.1904761904761905,1.8140589569160999,0.0,0.0,5.0,5.0,2.857142857142857,1.7687074829931972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.333333333333333,1.2698412698412698,2.0,10.32,16.48,6.16,12.347142857142858,2.2863945578231295,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.6442994047619047,0.6982682834467121,0.0,225.0,229.0,4.0,227.09523809523807,1.9954648526077106,225.0,1.7142857142857142,0.23809523809523808,4.761904761904762,0.0,False,0.0728361721882469,0.005349137500622171,Al0.12685014716970214 Cr0.24445281030973334 Fe0.2625479063188789 Ni0.27593928345843827 Mo0.09020985274324735 ,Al0.23809523809523808Cr0.23809523809523808Fe0.23809523809523808Ni0.23809523809523808Mo0.047619047619047616,0.04927689044795952,1.7103159683559985,0.0027336192476953027,3.3786848072562354,1.075789979505098,-0.012568476876778147,50.64477109523809,212.7040386,-5.176021380179251,0.0762688312395158,0.20045351473922896,9.095238095238097,12.653061224489797,4.184285714285714,27.0,2.0,1.0,24.0,0.0,76.90952380952382,0.4228741439093126,17.563945578231294,-0.08720584484338809,1487.4
